,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id0,0,20,317283,387843,-71.06952667236328,42.357782825014176,-71.06918334960938,42.3575291254714
id1,1,20,317283,387844,-71.06952667236328,42.3575291254714,-71.06918334960938,42.35727542490438
id2,2,20,317283,387845,-71.06952667236328,42.35727542490438,-71.06918334960938,42.35702172331312
id3,3,20,317283,387846,-71.06952667236328,42.35702172331312,-71.06918334960938,42.356768020697615
id4,4,20,317283,387847,-71.06952667236328,42.356768020697615,-71.06918334960938,42.35651431705787
id5,5,20,317283,387848,-71.06952667236328,42.35651431705787,-71.06918334960938,42.356260612393896
id6,6,20,317283,387849,-71.06952667236328,42.356260612393896,-71.06918334960938,42.35600690670569
id7,7,20,317283,387850,-71.06952667236328,42.35600690670569,-71.06918334960938,42.35575319999323
id8,8,20,317283,387851,-71.06952667236328,42.35575319999323,-71.06918334960938,42.35549949225654
id9,9,20,317283,387852,-71.06952667236328,42.35549949225654,-71.06918334960938,42.35524578349561
id10,10,20,317283,387853,-71.06952667236328,42.35524578349561,-71.06918334960938,42.35499207371046
id11,11,20,317283,387854,-71.06952667236328,42.35499207371046,-71.06918334960938,42.35473836290107
id12,12,20,317283,387855,-71.06952667236328,42.35473836290107,-71.06918334960938,42.35448465106745
id13,13,20,317283,387856,-71.06952667236328,42.35448465106745,-71.06918334960938,42.3542309382096
id14,14,20,317283,387857,-71.06952667236328,42.3542309382096,-71.06918334960938,42.35397722432751
id15,15,20,317283,387858,-71.06952667236328,42.35397722432751,-71.06918334960938,42.353723509421194
id16,16,20,317283,387859,-71.06952667236328,42.353723509421194,-71.06918334960938,42.353469793490646
id17,17,20,317283,387860,-71.06952667236328,42.353469793490646,-71.06918334960938,42.35321607653588
id18,18,20,317283,387861,-71.06952667236328,42.35321607653588,-71.06918334960938,42.35296235855688
id19,19,20,317283,387862,-71.06952667236328,42.35296235855688,-71.06918334960938,42.352708639553654
id20,20,20,317283,387863,-71.06952667236328,42.352708639553654,-71.06918334960938,42.3524549195262
id21,21,20,317283,387864,-71.06952667236328,42.3524549195262,-71.06918334960938,42.352201198474525
id22,22,20,317283,387865,-71.06952667236328,42.352201198474525,-71.06918334960938,42.35194747639863
id23,23,20,317283,387866,-71.06952667236328,42.35194747639863,-71.06918334960938,42.351693753298505
id24,24,20,317284,387843,-71.06918334960938,42.357782825014176,-71.06884002685547,42.3575291254714
id25,25,20,317284,387844,-71.06918334960938,42.3575291254714,-71.06884002685547,42.35727542490438
id26,26,20,317284,387845,-71.06918334960938,42.35727542490438,-71.06884002685547,42.35702172331312
id27,27,20,317284,387846,-71.06918334960938,42.35702172331312,-71.06884002685547,42.356768020697615
id28,28,20,317284,387847,-71.06918334960938,42.356768020697615,-71.06884002685547,42.35651431705787
