,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id0,0,20,317139,387771,-71.11896514892578,42.376046500333125,-71.11862182617188,42.375792874537936
id1,1,20,317139,387772,-71.11896514892578,42.375792874537936,-71.11862182617188,42.37553924771845
id2,2,20,317139,387773,-71.11896514892578,42.37553924771845,-71.11862182617188,42.37528561987466
id3,3,20,317139,387774,-71.11896514892578,42.37528561987466,-71.11862182617188,42.37503199100657
id4,4,20,317139,387775,-71.11896514892578,42.37503199100657,-71.11862182617188,42.37477836111418
id5,5,20,317139,387776,-71.11896514892578,42.37477836111418,-71.11862182617188,42.3745247301975
id6,6,20,317139,387777,-71.11896514892578,42.3745247301975,-71.11862182617188,42.374271098256514
id7,7,20,317139,387778,-71.11896514892578,42.374271098256514,-71.11862182617188,42.37401746529124
id8,8,20,317139,387779,-71.11896514892578,42.37401746529124,-71.11862182617188,42.37376383130166
id9,9,20,317139,387780,-71.11896514892578,42.37376383130166,-71.11862182617188,42.37351019628779
id10,10,20,317139,387781,-71.11896514892578,42.37351019628779,-71.11862182617188,42.37325656024962
id11,11,20,317139,387782,-71.11896514892578,42.37325656024962,-71.11862182617188,42.373002923187165
id12,12,20,317139,387783,-71.11896514892578,42.373002923187165,-71.11862182617188,42.37274928510041
id13,13,20,317139,387784,-71.11896514892578,42.37274928510041,-71.11862182617188,42.37249564598936
id14,14,20,317139,387785,-71.11896514892578,42.37249564598936,-71.11862182617188,42.37224200585402
id15,15,20,317139,387786,-71.11896514892578,42.37224200585402,-71.11862182617188,42.3719883646944
id16,16,20,317140,387771,-71.11862182617188,42.376046500333125,-71.11827850341797,42.375792874537936
id17,17,20,317140,387772,-71.11862182617188,42.375792874537936,-71.11827850341797,42.37553924771845
id18,18,20,317140,387773,-71.11862182617188,42.37553924771845,-71.11827850341797,42.37528561987466
id19,19,20,317140,387774,-71.11862182617188,42.37528561987466,-71.11827850341797,42.37503199100657
id20,20,20,317140,387775,-71.11862182617188,42.37503199100657,-71.11827850341797,42.37477836111418
id21,21,20,317140,387776,-71.11862182617188,42.37477836111418,-71.11827850341797,42.3745247301975
id22,22,20,317140,387777,-71.11862182617188,42.3745247301975,-71.11827850341797,42.374271098256514
id23,23,20,317140,387778,-71.11862182617188,42.374271098256514,-71.11827850341797,42.37401746529124
id24,24,20,317140,387779,-71.11862182617188,42.37401746529124,-71.11827850341797,42.37376383130166
id25,25,20,317140,387780,-71.11862182617188,42.37376383130166,-71.11827850341797,42.37351019628779
id26,26,20,317140,387781,-71.11862182617188,42.37351019628779,-71.11827850341797,42.37325656024962
id27,27,20,317140,387782,-71.11862182617188,42.37325656024962,-71.11827850341797,42.373002923187165
id28,28,20,317140,387783,-71.11862182617188,42.373002923187165,-71.11827850341797,42.37274928510041
id29,29,20,317140,387784,-71.11862182617188,42.37274928510041,-71.11827850341797,42.37249564598936
id30,30,20,317140,387785,-71.11862182617188,42.37249564598936,-71.11827850341797,42.37224200585402
id31,31,20,317140,387786,-71.11862182617188,42.37224200585402,-71.11827850341797,42.3719883646944
id32,32,20,317141,387771,-71.11827850341797,42.376046500333125,-71.11793518066406,42.375792874537936
id33,33,20,317141,387772,-71.11827850341797,42.375792874537936,-71.11793518066406,42.37553924771845
id34,34,20,317141,387773,-71.11827850341797,42.37553924771845,-71.11793518066406,42.37528561987466
id35,35,20,317141,387774,-71.11827850341797,42.37528561987466,-71.11793518066406,42.37503199100657
id36,36,20,317141,387775,-71.11827850341797,42.37503199100657,-71.11793518066406,42.37477836111418
id37,37,20,317141,387776,-71.11827850341797,42.37477836111418,-71.11793518066406,42.3745247301975
id38,38,20,317141,387777,-71.11827850341797,42.3745247301975,-71.11793518066406,42.374271098256514
id39,39,20,317141,387778,-71.11827850341797,42.374271098256514,-71.11793518066406,42.37401746529124
id40,40,20,317141,387779,-71.11827850341797,42.37401746529124,-71.11793518066406,42.37376383130166
id41,41,20,317141,387780,-71.11827850341797,42.37376383130166,-71.11793518066406,42.37351019628779
id42,42,20,317141,387781,-71.11827850341797,42.37351019628779,-71.11793518066406,42.37325656024962
id43,43,20,317141,387782,-71.11827850341797,42.37325656024962,-71.11793518066406,42.373002923187165
id44,44,20,317141,387783,-71.11827850341797,42.373002923187165,-71.11793518066406,42.37274928510041
id45,45,20,317141,387784,-71.11827850341797,42.37274928510041,-71.11793518066406,42.37249564598936
id46,46,20,317141,387785,-71.11827850341797,42.37249564598936,-71.11793518066406,42.37224200585402
id47,47,20,317141,387786,-71.11827850341797,42.37224200585402,-71.11793518066406,42.3719883646944
id48,48,20,317142,387771,-71.11793518066406,42.376046500333125,-71.11759185791016,42.375792874537936
id49,49,20,317142,387772,-71.11793518066406,42.375792874537936,-71.11759185791016,42.37553924771845
id50,50,20,317142,387773,-71.11793518066406,42.37553924771845,-71.11759185791016,42.37528561987466
id51,51,20,317142,387774,-71.11793518066406,42.37528561987466,-71.11759185791016,42.37503199100657
id52,52,20,317142,387775,-71.11793518066406,42.37503199100657,-71.11759185791016,42.37477836111418
id53,53,20,317142,387776,-71.11793518066406,42.37477836111418,-71.11759185791016,42.3745247301975
id54,54,20,317142,387777,-71.11793518066406,42.3745247301975,-71.11759185791016,42.374271098256514
