,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id0,0,20,317275,387850,-71.07227325439453,42.35600690670569,-71.07192993164062,42.35575319999323
id1,1,20,317275,387851,-71.07227325439453,42.35575319999323,-71.07192993164062,42.35549949225654
id2,2,20,317275,387852,-71.07227325439453,42.35549949225654,-71.07192993164062,42.35524578349561
id3,3,20,317275,387853,-71.07227325439453,42.35524578349561,-71.07192993164062,42.35499207371046
id4,4,20,317275,387854,-71.07227325439453,42.35499207371046,-71.07192993164062,42.35473836290107
id5,5,20,317275,387855,-71.07227325439453,42.35473836290107,-71.07192993164062,42.35448465106745
id6,6,20,317275,387856,-71.07227325439453,42.35448465106745,-71.07192993164062,42.3542309382096
id7,7,20,317275,387857,-71.07227325439453,42.3542309382096,-71.07192993164062,42.35397722432751
id8,8,20,317275,387858,-71.07227325439453,42.35397722432751,-71.07192993164062,42.353723509421194
id9,9,20,317275,387859,-71.07227325439453,42.353723509421194,-71.07192993164062,42.353469793490646
id10,10,20,317275,387860,-71.07227325439453,42.353469793490646,-71.07192993164062,42.35321607653588
id11,11,20,317275,387861,-71.07227325439453,42.35321607653588,-71.07192993164062,42.35296235855688
id12,12,20,317275,387862,-71.07227325439453,42.35296235855688,-71.07192993164062,42.352708639553654
id13,13,20,317275,387863,-71.07227325439453,42.352708639553654,-71.07192993164062,42.3524549195262
id14,14,20,317275,387864,-71.07227325439453,42.3524549195262,-71.07192993164062,42.352201198474525
id15,15,20,317275,387865,-71.07227325439453,42.352201198474525,-71.07192993164062,42.35194747639863
id16,16,20,317276,387850,-71.07192993164062,42.35600690670569,-71.07158660888672,42.35575319999323
id17,17,20,317276,387851,-71.07192993164062,42.35575319999323,-71.07158660888672,42.35549949225654
id18,18,20,317276,387852,-71.07192993164062,42.35549949225654,-71.07158660888672,42.35524578349561
id19,19,20,317276,387853,-71.07192993164062,42.35524578349561,-71.07158660888672,42.35499207371046
id20,20,20,317276,387854,-71.07192993164062,42.35499207371046,-71.07158660888672,42.35473836290107
id21,21,20,317276,387855,-71.07192993164062,42.35473836290107,-71.07158660888672,42.35448465106745
id22,22,20,317276,387856,-71.07192993164062,42.35448465106745,-71.07158660888672,42.3542309382096
id23,23,20,317276,387857,-71.07192993164062,42.3542309382096,-71.07158660888672,42.35397722432751
id24,24,20,317276,387858,-71.07192993164062,42.35397722432751,-71.07158660888672,42.353723509421194
id25,25,20,317276,387859,-71.07192993164062,42.353723509421194,-71.07158660888672,42.353469793490646
id26,26,20,317276,387860,-71.07192993164062,42.353469793490646,-71.07158660888672,42.35321607653588
id27,27,20,317276,387861,-71.07192993164062,42.35321607653588,-71.07158660888672,42.35296235855688
id28,28,20,317276,387862,-71.07192993164062,42.35296235855688,-71.07158660888672,42.352708639553654
id29,29,20,317276,387863,-71.07192993164062,42.352708639553654,-71.07158660888672,42.3524549195262
id30,30,20,317276,387864,-71.07192993164062,42.3524549195262,-71.07158660888672,42.352201198474525
id31,31,20,317276,387865,-71.07192993164062,42.352201198474525,-71.07158660888672,42.35194747639863
id32,32,20,317277,387850,-71.07158660888672,42.35600690670569,-71.07124328613281,42.35575319999323
id33,33,20,317277,387851,-71.07158660888672,42.35575319999323,-71.07124328613281,42.35549949225654
id34,34,20,317277,387852,-71.07158660888672,42.35549949225654,-71.07124328613281,42.35524578349561
id35,35,20,317277,387853,-71.07158660888672,42.35524578349561,-71.07124328613281,42.35499207371046
id36,36,20,317277,387854,-71.07158660888672,42.35499207371046,-71.07124328613281,42.35473836290107
id37,37,20,317277,387855,-71.07158660888672,42.35473836290107,-71.07124328613281,42.35448465106745
id38,38,20,317277,387856,-71.07158660888672,42.35448465106745,-71.07124328613281,42.3542309382096
id39,39,20,317277,387857,-71.07158660888672,42.3542309382096,-71.07124328613281,42.35397722432751
id40,40,20,317277,387858,-71.07158660888672,42.35397722432751,-71.07124328613281,42.353723509421194
id41,41,20,317277,387859,-71.07158660888672,42.353723509421194,-71.07124328613281,42.353469793490646
id42,42,20,317277,387860,-71.07158660888672,42.353469793490646,-71.07124328613281,42.35321607653588
id43,43,20,317277,387861,-71.07158660888672,42.35321607653588,-71.07124328613281,42.35296235855688
id44,44,20,317277,387862,-71.07158660888672,42.35296235855688,-71.07124328613281,42.352708639553654
id45,45,20,317277,387863,-71.07158660888672,42.352708639553654,-71.07124328613281,42.3524549195262
id46,46,20,317277,387864,-71.07158660888672,42.3524549195262,-71.07124328613281,42.352201198474525
id47,47,20,317277,387865,-71.07158660888672,42.352201198474525,-71.07124328613281,42.35194747639863
id48,48,20,317278,387850,-71.07124328613281,42.35600690670569,-71.0708999633789,42.35575319999323
id49,49,20,317278,387851,-71.07124328613281,42.35575319999323,-71.0708999633789,42.35549949225654
id50,50,20,317278,387852,-71.07124328613281,42.35549949225654,-71.0708999633789,42.35524578349561
id51,51,20,317278,387853,-71.07124328613281,42.35524578349561,-71.0708999633789,42.35499207371046
id52,52,20,317278,387854,-71.07124328613281,42.35499207371046,-71.0708999633789,42.35473836290107
id53,53,20,317278,387855,-71.07124328613281,42.35473836290107,-71.0708999633789,42.35448465106745
id54,54,20,317278,387856,-71.07124328613281,42.35448465106745,-71.0708999633789,42.3542309382096
id55,55,20,317278,387857,-71.07124328613281,42.3542309382096,-71.0708999633789,42.35397722432751
id56,56,20,317278,387858,-71.07124328613281,42.35397722432751,-71.0708999633789,42.353723509421194
id57,57,20,317278,387859,-71.07124328613281,42.353723509421194,-71.0708999633789,42.353469793490646
id58,58,20,317278,387860,-71.07124328613281,42.353469793490646,-71.0708999633789,42.35321607653588
id59,59,20,317278,387861,-71.07124328613281,42.35321607653588,-71.0708999633789,42.35296235855688
id60,60,20,317278,387862,-71.07124328613281,42.35296235855688,-71.0708999633789,42.352708639553654
id61,61,20,317278,387863,-71.07124328613281,42.352708639553654,-71.0708999633789,42.3524549195262
id62,62,20,317278,387864,-71.07124328613281,42.3524549195262,-71.0708999633789,42.352201198474525
id63,63,20,317278,387865,-71.07124328613281,42.352201198474525,-71.0708999633789,42.35194747639863
id64,64,20,317279,387850,-71.0708999633789,42.35600690670569,-71.070556640625,42.35575319999323
id65,65,20,317279,387851,-71.0708999633789,42.35575319999323,-71.070556640625,42.35549949225654
id66,66,20,317279,387852,-71.0708999633789,42.35549949225654,-71.070556640625,42.35524578349561
id67,67,20,317279,387853,-71.0708999633789,42.35524578349561,-71.070556640625,42.35499207371046
id68,68,20,317279,387854,-71.0708999633789,42.35499207371046,-71.070556640625,42.35473836290107
id69,69,20,317279,387855,-71.0708999633789,42.35473836290107,-71.070556640625,42.35448465106745
id70,70,20,317279,387856,-71.0708999633789,42.35448465106745,-71.070556640625,42.3542309382096
id71,71,20,317279,387857,-71.0708999633789,42.3542309382096,-71.070556640625,42.35397722432751
id72,72,20,317279,387858,-71.0708999633789,42.35397722432751,-71.070556640625,42.353723509421194
id73,73,20,317279,387859,-71.0708999633789,42.353723509421194,-71.070556640625,42.353469793490646
id74,74,20,317279,387860,-71.0708999633789,42.353469793490646,-71.070556640625,42.35321607653588
id75,75,20,317279,387861,-71.0708999633789,42.35321607653588,-71.070556640625,42.35296235855688
id76,76,20,317279,387862,-71.0708999633789,42.35296235855688,-71.070556640625,42.352708639553654
id77,77,20,317279,387863,-71.0708999633789,42.352708639553654,-71.070556640625,42.3524549195262
id78,78,20,317279,387864,-71.0708999633789,42.3524549195262,-71.070556640625,42.352201198474525
id79,79,20,317279,387865,-71.0708999633789,42.352201198474525,-71.070556640625,42.35194747639863
id80,80,20,317280,387850,-71.070556640625,42.35600690670569,-71.0702133178711,42.35575319999323
id81,81,20,317280,387851,-71.070556640625,42.35575319999323,-71.0702133178711,42.35549949225654
id82,82,20,317280,387852,-71.070556640625,42.35549949225654,-71.0702133178711,42.35524578349561
id83,83,20,317280,387853,-71.070556640625,42.35524578349561,-71.0702133178711,42.35499207371046
id84,84,20,317280,387854,-71.070556640625,42.35499207371046,-71.0702133178711,42.35473836290107
id85,85,20,317280,387855,-71.070556640625,42.35473836290107,-71.0702133178711,42.35448465106745
id86,86,20,317280,387856,-71.070556640625,42.35448465106745,-71.0702133178711,42.3542309382096
id87,87,20,317280,387857,-71.070556640625,42.3542309382096,-71.0702133178711,42.35397722432751
id88,88,20,317280,387858,-71.070556640625,42.35397722432751,-71.0702133178711,42.353723509421194
id89,89,20,317280,387859,-71.070556640625,42.353723509421194,-71.0702133178711,42.353469793490646
id90,90,20,317280,387860,-71.070556640625,42.353469793490646,-71.0702133178711,42.35321607653588
id91,91,20,317280,387861,-71.070556640625,42.35321607653588,-71.0702133178711,42.35296235855688
id92,92,20,317280,387862,-71.070556640625,42.35296235855688,-71.0702133178711,42.352708639553654
id93,93,20,317280,387863,-71.070556640625,42.352708639553654,-71.0702133178711,42.3524549195262
id94,94,20,317280,387864,-71.070556640625,42.3524549195262,-71.0702133178711,42.352201198474525
id95,95,20,317280,387865,-71.070556640625,42.352201198474525,-71.0702133178711,42.35194747639863
id96,96,20,317281,387850,-71.0702133178711,42.35600690670569,-71.06986999511719,42.35575319999323
id97,97,20,317281,387851,-71.0702133178711,42.35575319999323,-71.06986999511719,42.35549949225654
id98,98,20,317281,387852,-71.0702133178711,42.35549949225654,-71.06986999511719,42.35524578349561
id99,99,20,317281,387853,-71.0702133178711,42.35524578349561,-71.06986999511719,42.35499207371046
id100,100,20,317281,387854,-71.0702133178711,42.35499207371046,-71.06986999511719,42.35473836290107
id101,101,20,317281,387855,-71.0702133178711,42.35473836290107,-71.06986999511719,42.35448465106745
id102,102,20,317281,387856,-71.0702133178711,42.35448465106745,-71.06986999511719,42.3542309382096
id103,103,20,317281,387857,-71.0702133178711,42.3542309382096,-71.06986999511719,42.35397722432751
id104,104,20,317281,387858,-71.0702133178711,42.35397722432751,-71.06986999511719,42.353723509421194
id105,105,20,317281,387859,-71.0702133178711,42.353723509421194,-71.06986999511719,42.353469793490646
id106,106,20,317281,387860,-71.0702133178711,42.353469793490646,-71.06986999511719,42.35321607653588
id107,107,20,317281,387861,-71.0702133178711,42.35321607653588,-71.06986999511719,42.35296235855688
id108,108,20,317281,387862,-71.0702133178711,42.35296235855688,-71.06986999511719,42.352708639553654
id109,109,20,317281,387863,-71.0702133178711,42.352708639553654,-71.06986999511719,42.3524549195262
id110,110,20,317281,387864,-71.0702133178711,42.3524549195262,-71.06986999511719,42.352201198474525
id111,111,20,317281,387865,-71.0702133178711,42.352201198474525,-71.06986999511719,42.35194747639863
id112,112,20,317282,387850,-71.06986999511719,42.35600690670569,-71.06952667236328,42.35575319999323
id113,113,20,317282,387851,-71.06986999511719,42.35575319999323,-71.06952667236328,42.35549949225654
id114,114,20,317282,387852,-71.06986999511719,42.35549949225654,-71.06952667236328,42.35524578349561
id115,115,20,317282,387853,-71.06986999511719,42.35524578349561,-71.06952667236328,42.35499207371046
id116,116,20,317282,387854,-71.06986999511719,42.35499207371046,-71.06952667236328,42.35473836290107
id117,117,20,317282,387855,-71.06986999511719,42.35473836290107,-71.06952667236328,42.35448465106745
id118,118,20,317282,387856,-71.06986999511719,42.35448465106745,-71.06952667236328,42.3542309382096
id119,119,20,317282,387857,-71.06986999511719,42.3542309382096,-71.06952667236328,42.35397722432751
id120,120,20,317282,387858,-71.06986999511719,42.35397722432751,-71.06952667236328,42.353723509421194
id121,121,20,317282,387859,-71.06986999511719,42.353723509421194,-71.06952667236328,42.353469793490646
id122,122,20,317282,387860,-71.06986999511719,42.353469793490646,-71.06952667236328,42.35321607653588
id123,123,20,317282,387861,-71.06986999511719,42.35321607653588,-71.06952667236328,42.35296235855688
id124,124,20,317282,387862,-71.06986999511719,42.35296235855688,-71.06952667236328,42.352708639553654
id125,125,20,317282,387863,-71.06986999511719,42.352708639553654,-71.06952667236328,42.3524549195262
id126,126,20,317282,387864,-71.06986999511719,42.3524549195262,-71.06952667236328,42.352201198474525
id127,127,20,317282,387865,-71.06986999511719,42.352201198474525,-71.06952667236328,42.35194747639863
id128,128,20,317283,387850,-71.06952667236328,42.35600690670569,-71.06918334960938,42.35575319999323
